"","residence_camp","ref","sex","birthplace","age","median_dist","max_dist","min_dist","places_visited","times_bantu_work","region"
"942","Popo1","BE96","F","Bétou","Adulte",4888.71977624945,4888.71977624945,4888.71977624945,15,1,"betou"
"1004","Bobo1","BE102","F","Bétou","Adulte",NA,-Inf,-Inf,18,0,"betou"
"1054","Bobo1","BE107","F","Enyelle","Adulte",20030.300121231,20030.300121231,20030.300121231,12,1,"betou"
"1063","Bobo1","BE108","M","","Adulte",NA,-Inf,-Inf,17,0,"betou"
"1073","Bobo1","BE109","M","Bétou","Adulte",NA,-Inf,-Inf,20,0,"betou"
"1114","Bobo1","BE113","M","Bobo1","Adulte",10897.5236689681,20030.300121231,1764.7472167051,14,2,"betou"
"1123","Ngola2","BE114","M","","Adolescent",9264.62924779644,9264.62924779644,9264.62924779644,12,2,"betou"
"1133","Bobo1","BE115","F","Boyelé","Adulte",NA,-Inf,-Inf,12,1,"betou"
"1153","Ngola2","BE117","F","Bétou","Adulte",79812.3400429355,157575.973441216,2048.70664465525,13,2,"betou"
"1193","Mondika","BE121","M","Bétou","Adulte",NA,-Inf,-Inf,7,0,"betou"
"1223","Mondika","BE124","F","Bétou","Adolescent",NA,-Inf,-Inf,1,0,"betou"
"1234","Mondika","BE125","F","Bétou","Adulte",NA,-Inf,-Inf,8,0,"betou"
"1254","Mondika","BE127","M","Mondika","FALSE",NA,-Inf,-Inf,0,0,"betou"
"1263","Mondika","BE128","M","Bétou","Adolescent",NA,-Inf,-Inf,10,0,"betou"
"1274","Mondika","BE129","F","Bétou","Adulte",NA,-Inf,-Inf,14,0,"betou"
